orig.roi,orig.ind,new.roi,new.reind,new.ind,com
ContB_PFCmp.rh,42,ContA_PFCl.rh,36,42,5
ContC_pCun.rh,43,ContA_Cinga.rh,37,43,5
ContC_Cingp.rh,44,ContB_Temp.rh,38,44,5
DefaultA_Temp.rh,45,ContB_IPL.rh,39,45,5
DefaultA_IPL.rh,46,ContB_PFCld.rh,40,46,5
DefaultA_PFCd.rh,47,ContB_PFClv.rh,41,47,5
DefaultA_PCC.rh,48,ContB_PFCmp.rh,42,48,5
DefaultA_PFCm.rh,49,ContC_pCun.rh,43,49,5
DefaultB_Temp.rh,50,ContC_Cingp.rh,44,50,5
DefaultB_AntTemp.rh,51,SalVentAttnA_ParOper.lh,75,51,6
DefaultB_PFCd.rh,52,SalVentAttnA_PrCv.lh,76,52,6
DefaultB_PFCv.rh,53,SalVentAttnA_Ins.lh,77,53,6
DefaultC_IPL.rh,54,SalVentAttnA_ParMed.lh,78,54,6
DefaultC_Rsp.rh,55,SalVentAttnA_FrMed.lh,79,55,6
DefaultC_PHC.rh,56,SalVentAttnB_IPL.lh,80,56,6
TempPar.rh,57,SalVentAttnB_PFCd.lh,81,57,6
VisCent_Striate.lh,58,SalVentAttnB_PFCl.lh,82,58,6
VisCent_ExStr.lh,59,SalVentAttnB_PFCv.lh,83,59,6
VisPeri_Striate.lh,60,SalVentAttnB_OFC.lh,84,60,6
VisPeri_ExStrInf.lh,61,SalVentAttnB_PFCmp.lh,85,61,6
VisPeri_ExStrSup.lh,62,SalVentAttnA_ParOper.rh,18,62,6
SomMotA.lh,63,SalVentAttnA_PrC.rh,19,63,6
SomMotB_Cent.lh,64,SalVentAttnA_PrCv.rh,20,64,6
SomMotB_S2.lh,65,SalVentAttnA_Ins.rh,21,65,6
SomMotB_Ins.lh,66,SalVentAttnA_ParMed.rh,22,66,6
SomMotB_Aud.lh,67,SalVentAttnA_FrMed.rh,23,67,6
DorsAttnA_TempOcc.lh,68,SalVentAttnB_IPL.rh,24,68,6
DorsAttnA_ParOcc.lh,69,SalVentAttnB_PFCd.rh,25,69,6
DorsAttnA_SPL.lh,70,SalVentAttnB_PFCl.rh,26,70,6
DorsAttnB_TempOcc.lh,71,SalVentAttnB_PFClv.rh,27,71,6
DorsAttnB_PostC.lh,72,SalVentAttnB_PFCv.rh,28,72,6
DorsAttnB_FEF.lh,73,SalVentAttnB_PFCmp.rh,29,73,6
DorsAttnB_PrCv.lh,74,SalVentAttnB_Cinga.rh,30,74,6
SalVentAttnA_ParOper.lh,75,DorsAttnA_TempOcc.lh,68,75,7
SalVentAttnA_PrCv.lh,76,DorsAttnA_ParOcc.lh,69,76,7
SalVentAttnA_Ins.lh,77,DorsAttnA_SPL.lh,70,77,7
SalVentAttnA_ParMed.lh,78,DorsAttnB_TempOcc.lh,71,78,7
SalVentAttnA_FrMed.lh,79,DorsAttnB_PostC.lh,72,79,7
SalVentAttnB_IPL.lh,80,DorsAttnB_FEF.lh,73,80,7
SalVentAttnB_PFCd.lh,81,DorsAttnB_PrCv.lh,74,81,7
SalVentAttnB_PFCl.lh,82,DorsAttnA_TempOcc.rh,11,82,7
SalVentAttnB_PFCv.lh,83,DorsAttnA_ParOcc.rh,12,83,7
SalVentAttnB_OFC.lh,84,DorsAttnA_SPL.rh,13,84,7
SalVentAttnB_PFCmp.lh,85,DorsAttnB_TempOcc.rh,14,85,7
Limbic_TempPole.lh,86,DorsAttnB_PostC.rh,15,86,7
Limbic_OFC.lh,87,DorsAttnB_FEF.rh,16,87,7
ContA_Temp.lh,88,DorsAttnB_PrCv.rh,17,88,7
ContA_IPS.lh,89,DefaultA_IPL.lh,102,89,8
ContA_PFCd.lh,90,DefaultA_PFCd.lh,103,90,8
ContA_PFCl.lh,91,DefaultA_PCC.lh,104,91,8
ContA_PFClv.lh,92,DefaultA_PFCm.lh,105,92,8
ContA_Cinga.lh,93,DefaultB_Temp.lh,106,93,8
ContB_Temp.lh,94,DefaultB_IPL.lh,107,94,8
ContB_IPL.lh,95,DefaultB_PFCd.lh,108,95,8
ContB_PFCd.lh,96,DefaultB_PFCl.lh,109,96,8
ContB_PFCl.lh,97,DefaultB_PFCv.lh,110,97,8
ContB_PFClv.lh,98,DefaultC_IPL.lh,111,98,8
ContB_PFCmp.lh,99,DefaultC_Rsp.lh,112,99,8
ContC_pCun.lh,100,DefaultC_PHC.lh,113,100,8
ContC_Cingp.lh,101,TempPar.lh,114,101,8
DefaultA_IPL.lh,102,DefaultA_Temp.rh,45,102,8
DefaultA_PFCd.lh,103,DefaultA_IPL.rh,46,103,8
DefaultA_PCC.lh,104,DefaultA_PFCd.rh,47,104,8
DefaultA_PFCm.lh,105,DefaultA_PCC.rh,48,105,8
DefaultB_Temp.lh,106,DefaultA_PFCm.rh,49,106,8
DefaultB_IPL.lh,107,DefaultB_Temp.rh,50,107,8
DefaultB_PFCd.lh,108,DefaultB_AntTemp.rh,51,108,8
DefaultB_PFCl.lh,109,DefaultB_PFCd.rh,52,109,8
DefaultB_PFCv.lh,110,DefaultB_PFCv.rh,53,110,8
DefaultC_IPL.lh,111,DefaultC_IPL.rh,54,111,8
DefaultC_Rsp.lh,112,DefaultC_Rsp.rh,55,112,8
DefaultC_PHC.lh,113,DefaultC_PHC.rh,56,113,8
TempPar.lh,114,TempPar.rh,57,114,8
